Nome do Produto,Sistema,Documento,Transação,Meio de Pagamento,Moeda,Preço do Produto,Número da Parcela,Data de Venda,Status,Cliente,País,Tipo de Pagamento
Jogo da Vida,Sistema Hash,2233333308,2646280,Online,BRL,230,1,45224,Aprovado,Cliente 1,Brasil,Cartão de Crédito
Catan,Sistema Hash,2233333308,6325626,Online,BRL,250,12,45224,Aprovado,Cliente 5,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4340554,Online,BRL,230,1,45224,Aprovado,Cliente 6,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2679040,Online,BRL,230,12,45224,Aprovado,Cliente 10,Brasil,Cartão de Crédito
Dixit,Sistema Hash,2233333308,3474824,Online,BRL,180,1,45224,Aprovado,Cliente 28,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5582451,Online,BRL,230,1,45224,Aprovado,Cliente 31,Brasil,Cartão de Crédito
Catan,Sistema Hash,2233333308,1553526,Online,BRL,250,12,45224,Aprovado,Cliente 33,Brasil,Cartão de Crédito
Dixit,Sistema Hash,2233333308,8005532,Online,BRL,180,1,45224,Aprovado,Cliente 34,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4375780,Online,BRL,230,1,45224,Aprovado,Cliente 38,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9482721,Online,BRL,230,1,45224,Aprovado,Cliente 39,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9748066,Online,BRL,230,1,45224,Aprovado,Cliente 41,Brasil,Cartão de Crédito
Dixit,Sistema Hash,2233333308,7299685,Online,BRL,180,1,45224,Aprovado,Cliente 43,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4350254,Online,BRL,230,1,45224,Aprovado,Cliente 44,Brasil,Cartão de Crédito
Dixit,Sistema Hash,2233333308,2631996,Online,BRL,180,1,45224,Aprovado,Cliente 46,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6767186,Online,BRL,230,1,45224,Aprovado,Cliente 47,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9448874,Online,BRL,230,1,45224,Aprovado,Cliente 67,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7219323,Online,BRL,230,1,45224,Aprovado,Cliente 69,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2127658,Online,BRL,230,1,45224,Aprovado,Cliente 72,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5757303,Online,BRL,230,1,45224,Aprovado,Cliente 80,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2370227,Online,BRL,230,1,45224,Aprovado,Cliente 82,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,8103682,Online,BRL,230,1,45224,Aprovado,Cliente 87,Brasil,Cartão de Crédito
Catan,Sistema Hash,2233333308,2431723,Online,BRL,250,12,45224,Aprovado,Cliente 99,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2836114,Online,BRL,230,1,45224,Aprovado,Cliente 101,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7126477,Online,BRL,230,1,45224,Aprovado,Cliente 102,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,8336757,Online,BRL,230,1,45224,Aprovado,Cliente 106,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4176528,Online,BRL,230,1,45224,Aprovado,Cliente 107,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9590713,Online,BRL,230,1,45224,Aprovado,Cliente 110,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7752348,Online,BRL,230,1,45224,Aprovado,Cliente 112,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7258034,Online,BRL,230,1,45224,Aprovado,Cliente 119,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5730947,Online,BRL,230,1,45224,Aprovado,Cliente 121,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5929206,Online,BRL,230,1,45224,Aprovado,Cliente 124,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4605515,Online,BRL,230,1,45224,Aprovado,Cliente 125,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,3298489,Online,BRL,230,1,45224,Aprovado,Cliente 128,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9645399,Online,BRL,230,1,45224,Aprovado,Cliente 130,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4824915,Online,BRL,230,1,45224,Aprovado,Cliente 138,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6472001,Online,BRL,230,1,45224,Aprovado,Cliente 143,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2776892,Online,EUR,230,1,45224,Aprovado,Cliente 144,Portugal,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6118225,Online,BRL,230,1,45224,Aprovado,Cliente 145,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6247038,Online,BRL,230,1,45224,Aprovado,Cliente 148,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2367491,Online,BRL,230,1,45224,Aprovado,Cliente 149,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9082696,Online,BRL,230,1,45224,Aprovado,Cliente 152,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6913445,Online,BRL,230,1,45224,Aprovado,Cliente 155,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,8328441,Online,BRL,230,1,45224,Aprovado,Cliente 160,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5679305,Online,BRL,230,1,45224,Aprovado,Cliente 161,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,3164741,Online,BRL,230,1,45224,Aprovado,Cliente 162,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,1793223,Online,BRL,230,1,45224,Aprovado,Cliente 164,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2494958,Online,BRL,230,1,45224,Aprovado,Cliente 170,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6248250,Online,BRL,230,1,45224,Aprovado,Cliente 171,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7028951,Online,BRL,230,1,45224,Aprovado,Cliente 172,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9343051,Online,BRL,230,1,45224,Aprovado,Cliente 173,Brasil,Cartão de Crédito
Dixit,Sistema Hash,2233333308,5042465,Online,BRL,180,1,45224,Aprovado,Cliente 177,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2354180,Online,BRL,230,1,45224,Aprovado,Cliente 178,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4799377,Online,BRL,230,1,45224,Aprovado,Cliente 181,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5831986,Online,BRL,230,1,45224,Aprovado,Cliente 184,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6019111,Online,BRL,230,1,45224,Aprovado,Cliente 187,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4422726,Online,BRL,230,1,45224,Aprovado,Cliente 190,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6309850,Online,BRL,230,1,45224,Aprovado,Cliente 192,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6708105,Online,BRL,230,1,45224,Aprovado,Cliente 194,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2755596,Online,BRL,230,1,45224,Aprovado,Cliente 200,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5732826,Online,BRL,230,1,45224,Aprovado,Cliente 201,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,8021402,Online,BRL,230,1,45224,Aprovado,Cliente 203,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4041424,Online,BRL,230,1,45224,Aprovado,Cliente 204,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,1050800,Online,BRL,230,1,45224,Aprovado,Cliente 205,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5385228,Online,BRL,230,1,45224,Aprovado,Cliente 212,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,3358144,Online,BRL,230,1,45224,Aprovado,Cliente 213,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,8725766,Online,BRL,230,1,45224,Aprovado,Cliente 214,Brasil,Cartão de Crédito
Dixit,Sistema Hash,2233333308,6866250,Online,BRL,180,1,45224,Aprovado,Cliente 222,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4424303,Online,BRL,230,1,45224,Aprovado,Cliente 227,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4072533,Online,BRL,230,1,45224,Aprovado,Cliente 229,Brasil,Cartão de Crédito
Catan,Sistema Hash,2233333308,8742176,Online,BRL,250,12,45224,Aprovado,Cliente 233,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2685199,Online,BRL,230,1,45224,Aprovado,Cliente 236,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5554774,Online,BRL,230,1,45224,Aprovado,Cliente 237,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2360464,Online,BRL,230,1,45224,Aprovado,Cliente 238,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,1730516,Online,BRL,230,1,45224,Aprovado,Cliente 240,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2794392,Online,BRL,230,1,45224,Aprovado,Cliente 246,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,3129827,Online,BRL,230,6,45224,Aprovado,Cliente 248,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9537786,Online,BRL,230,1,45224,Aprovado,Cliente 250,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,8098294,Online,BRL,230,12,45224,Aprovado,Cliente 252,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9506942,Online,BRL,230,6,45224,Aprovado,Cliente 253,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4902979,Online,BRL,230,12,45224,Aprovado,Cliente 255,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,3841640,Online,BRL,230,1,45224,Aprovado,Cliente 257,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,8138166,Online,BRL,230,9,45224,Aprovado,Cliente 259,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6090137,Online,BRL,230,1,45224,Aprovado,Cliente 260,Brasil,Cartão de Crédito
