Nome do Produto,Sistema,Documento,Transação,Meio de Pagamento,Moeda,Preço do Produto,Número da Parcela,Data de Venda,Status,Cliente,País,Tipo de Pagamento
Jogo da Vida,Sistema Hash,2233333308,4439805,Online,BRL,230,1,45226,Aprovado,Cliente 4,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7396130,Online,BRL,230,3,45226,Aprovado,Cliente 11,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5976337,Online,BRL,230,1,45226,Aprovado,Cliente 12,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9498313,Online,BRL,230,1,45226,Aprovado,Cliente 15,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,1311966,Online,BRL,230,1,45226,Aprovado,Cliente 16,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6889526,Online,BRL,230,1,45226,Aprovado,Cliente 21,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2036560,Online,BRL,230,1,45226,Aprovado,Cliente 22,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4148567,Online,BRL,230,1,45226,Aprovado,Cliente 23,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7749435,Online,BRL,230,1,45226,Aprovado,Cliente 24,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,1317089,Online,BRL,230,1,45226,Aprovado,Cliente 25,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2197176,Online,BRL,230,1,45226,Aprovado,Cliente 27,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7470976,Online,BRL,230,1,45226,Aprovado,Cliente 30,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7726794,Online,BRL,230,1,45226,Aprovado,Cliente 35,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7585145,Online,BRL,230,1,45226,Aprovado,Cliente 36,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9774895,Online,BRL,230,1,45226,Aprovado,Cliente 37,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4815268,Online,BRL,230,1,45226,Aprovado,Cliente 40,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4542397,Online,BRL,230,1,45226,Aprovado,Cliente 42,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,3713398,Online,BRL,230,1,45226,Aprovado,Cliente 50,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7850710,Online,BRL,230,1,45226,Aprovado,Cliente 53,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,8075757,Online,BRL,230,1,45226,Aprovado,Cliente 55,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,3795075,Online,BRL,230,1,45226,Aprovado,Cliente 56,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7534594,Online,BRL,230,1,45226,Aprovado,Cliente 58,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,1361360,Online,BRL,230,1,45226,Aprovado,Cliente 59,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2100171,Online,BRL,230,1,45226,Aprovado,Cliente 61,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2495009,Online,BRL,230,1,45226,Aprovado,Cliente 62,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6604487,Online,BRL,230,1,45226,Aprovado,Cliente 64,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2304021,Online,BRL,230,1,45226,Aprovado,Cliente 66,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7570692,Online,BRL,230,1,45226,Aprovado,Cliente 70,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6064571,Online,BRL,230,1,45226,Aprovado,Cliente 71,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,1655408,Online,BRL,230,1,45226,Aprovado,Cliente 73,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6714785,Online,BRL,230,1,45226,Aprovado,Cliente 75,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5967588,Online,BRL,230,1,45226,Aprovado,Cliente 78,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5795586,Online,BRL,230,1,45226,Aprovado,Cliente 79,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,1844825,Online,BRL,230,1,45226,Aprovado,Cliente 84,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,1616022,Online,BRL,230,1,45226,Aprovado,Cliente 85,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,1238084,Online,BRL,230,1,45226,Aprovado,Cliente 88,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,8903595,Online,BRL,230,1,45226,Aprovado,Cliente 90,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,3220534,Online,BRL,230,1,45226,Aprovado,Cliente 92,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5087222,Online,BRL,230,1,45226,Aprovado,Cliente 98,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9592700,Online,BRL,230,1,45226,Aprovado,Cliente 100,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2744505,Online,BRL,230,1,45226,Aprovado,Cliente 103,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7773722,Online,BRL,230,1,45226,Aprovado,Cliente 109,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4343095,Online,BRL,230,1,45226,Aprovado,Cliente 114,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7462189,Online,BRL,230,1,45226,Aprovado,Cliente 115,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6838092,Online,BRL,230,1,45226,Aprovado,Cliente 117,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4445180,Online,BRL,230,1,45226,Aprovado,Cliente 126,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9938809,Online,BRL,230,1,45226,Aprovado,Cliente 129,Brasil,Cartão de Crédito
